territory,price_point_id
ARE,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJBUkUiLCJwIjoiMTAwMTAifQ
AFG,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJBRkciLCJwIjoiMTAwMTAifQ
ATG,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJBVEciLCJwIjoiMTAwMTAifQ
AIA,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJBSUEiLCJwIjoiMTAwMTAifQ
ALB,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJBTEIiLCJwIjoiMTAwMTAifQ
ARM,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJBUk0iLCJwIjoiMTAwMTAifQ
AGO,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJBR08iLCJwIjoiMTAwMTAifQ
ARG,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJBUkciLCJwIjoiMTAwMTAifQ
AUT,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJBVVQiLCJwIjoiMTAwMTAifQ
AUS,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJBVVMiLCJwIjoiMTAwMTAifQ
AZE,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJBWkUiLCJwIjoiMTAwMTAifQ
BIH,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJCSUgiLCJwIjoiMTAwMTAifQ
BRB,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJCUkIiLCJwIjoiMTAwMTAifQ
BEL,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJCRUwiLCJwIjoiMTAwMTAifQ
BFA,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJCRkEiLCJwIjoiMTAwMTAifQ
BGR,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJCR1IiLCJwIjoiMTAwMTAifQ
BHR,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJCSFIiLCJwIjoiMTAwMTAifQ
BEN,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJCRU4iLCJwIjoiMTAwMTAifQ
BMU,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJCTVUiLCJwIjoiMTAwMTAifQ
BRN,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJCUk4iLCJwIjoiMTAwMTAifQ
BOL,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJCT0wiLCJwIjoiMTAwMTAifQ
BRA,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJCUkEiLCJwIjoiMTAwMTAifQ
BHS,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJCSFMiLCJwIjoiMTAwMTAifQ
BTN,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJCVE4iLCJwIjoiMTAwMTAifQ
BWA,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJCV0EiLCJwIjoiMTAwMTAifQ
BLR,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJCTFIiLCJwIjoiMTAwMTAifQ
BLZ,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJCTFoiLCJwIjoiMTAwMTAifQ
CAN,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJDQU4iLCJwIjoiMTAwMTAifQ
COD,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJDT0QiLCJwIjoiMTAwMTAifQ
COG,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJDT0ciLCJwIjoiMTAwMTAifQ
CHE,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJDSEUiLCJwIjoiMTAwMTAifQ
CIV,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJDSVYiLCJwIjoiMTAwMTAifQ
CHL,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJDSEwiLCJwIjoiMTAwMTAifQ
CMR,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJDTVIiLCJwIjoiMTAwMTAifQ
CHN,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJDSE4iLCJwIjoiMTAwMTAifQ
COL,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJDT0wiLCJwIjoiMTAwMTAifQ
CRI,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJDUkkiLCJwIjoiMTAwMTAifQ
CPV,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJDUFYiLCJwIjoiMTAwMTAifQ
CYP,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJDWVAiLCJwIjoiMTAwMTAifQ
CZE,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJDWkUiLCJwIjoiMTAwMTAifQ
DEU,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJERVUiLCJwIjoiMTAwMTAifQ
DNK,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJETksiLCJwIjoiMTAwMTAifQ
DMA,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJETUEiLCJwIjoiMTAwMTAifQ
DOM,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJET00iLCJwIjoiMTAwMTAifQ
DZA,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJEWkEiLCJwIjoiMTAwMTAifQ
ECU,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJFQ1UiLCJwIjoiMTAwMTAifQ
EST,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJFU1QiLCJwIjoiMTAwMTAifQ
EGY,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJFR1kiLCJwIjoiMTAwMTAifQ
ESP,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJFU1AiLCJwIjoiMTAwMTAifQ
FIN,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJGSU4iLCJwIjoiMTAwMTAifQ
FJI,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJGSkkiLCJwIjoiMTAwMTAifQ
FSM,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJGU00iLCJwIjoiMTAwMTAifQ
FRA,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJGUkEiLCJwIjoiMTAwMTAifQ
GAB,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJHQUIiLCJwIjoiMTAwMTAifQ
GBR,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJHQlIiLCJwIjoiMTAwMTAifQ
GRD,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJHUkQiLCJwIjoiMTAwMTAifQ
GEO,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJHRU8iLCJwIjoiMTAwMTAifQ
GHA,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJHSEEiLCJwIjoiMTAwMTAifQ
GMB,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJHTUIiLCJwIjoiMTAwMTAifQ
GRC,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJHUkMiLCJwIjoiMTAwMTAifQ
GTM,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJHVE0iLCJwIjoiMTAwMTAifQ
GNB,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJHTkIiLCJwIjoiMTAwMTAifQ
GUY,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJHVVkiLCJwIjoiMTAwMTAifQ
HKG,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJIS0ciLCJwIjoiMTAwMTAifQ
HND,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJITkQiLCJwIjoiMTAwMTAifQ
HRV,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJIUlYiLCJwIjoiMTAwMTAifQ
HUN,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJIVU4iLCJwIjoiMTAwMTAifQ
IDN,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJJRE4iLCJwIjoiMTAwMTAifQ
IRL,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJJUkwiLCJwIjoiMTAwMTAifQ
ISR,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJJU1IiLCJwIjoiMTAwMTAifQ
IND,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJJTkQiLCJwIjoiMTAwMTAifQ
IRQ,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJJUlEiLCJwIjoiMTAwMTAifQ
ISL,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJJU0wiLCJwIjoiMTAwMTAifQ
